WaterLevel,Hm0,Steepness,BermWidth,BermLevel,Rc_m,Sim_Time_s,Gamma_b_used,q_star,Volume_m3
0.37,0.072,0.02,0.18,0.115,0.115,1518.5,0.906,5.3331719524737014e-05,0.0004900332123782191
0.37,0.072,0.02,0.29,0.115,0.115,1518.5,0.825,2.0821462812363645e-05,0.0001913159447938595
0.37,0.072,0.02,0.18,0.069,0.115,1518.5,0.88,3.993718983653872e-05,0.00036695890556989014
0.37,0.072,0.02,0.29,0.069,0.115,1518.5,0.776,1.0666185852321122e-05,9.800519022477191e-05
0.37,0.072,0.04,0.18,0.115,0.115,1073.7,0.682,1.127983288358384e-06,7.328711011735701e-06
0.37,0.072,0.04,0.29,0.115,0.115,1073.7,0.6,1.9770441957233703e-07,1.284521297205823e-06
0.37,0.072,0.04,0.18,0.069,0.115,1073.7,0.625,3.5383496964938936e-07,2.298929660722728e-06
0.37,0.072,0.04,0.29,0.069,0.115,1073.7,0.6,1.9770441957233703e-07,1.284521297205823e-06
0.37,0.096,0.02,0.18,0.115,0.115,1753.4,0.935,0.0007399539291550772,0.012087099106316553
0.37,0.096,0.02,0.29,0.115,0.115,1753.4,0.88,0.00047609460198761306,0.007776974229703131
0.37,0.096,0.02,0.18,0.069,0.115,1753.4,0.917,0.0006441640052480863,0.01052237695534103
0.37,0.096,0.02,0.29,0.069,0.115,1753.4,0.846,0.000353748850112813,0.005778464363236028
0.37,0.096,0.04,0.18,0.115,0.115,1239.8,0.781,9.308658656065546e-05,0.00107520062912329
0.37,0.096,0.04,0.29,0.115,0.115,1239.8,0.6,7.456367094425038e-06,8.612508941528372e-05
0.37,0.096,0.04,0.18,0.069,0.115,1239.8,0.742,5.9960548971847556e-05,0.0006925769045693792
0.37,0.096,0.04,0.29,0.069,0.115,1239.8,0.6,7.456367094425038e-06,8.612508941528372e-05
0.37,0.12,0.02,0.18,0.115,0.115,1960.3,0.952,0.003292353040329101,0.0840318310781539
